,BNF_CODE,TOTAL_QUANTITY,POSTCODE,YEAR_MONTH,UNIDENTIFIED,PRACTICE_NAME,ICB_NAME,BNF_CHAPTER_PLUS_CODE,ICB_CODE,ACTUAL_COST,QUANTITY,REGIONAL_OFFICE_CODE,ITEMS,ADDRESS_4,ADDRESS_1,ADDRESS_2,ADDRESS_3,BNF_CHEMICAL_SUBSTANCE,ADQUSAGE,PCO_CODE,REGIONAL_OFFICE_NAME,NIC,CHEMICAL_SUBSTANCE_BNF_DESCR,PRACTICE_CODE,PCO_NAME,BNF_DESCRIPTION
14,0601022B0AAASAS,2380.0,E14 8HQ,202411,False,THE LIMEHOUSE PRACTICE,NHS NORTH EAST LONDON INTEGRATED CARE BO,06: Endocrine System,QMF,115.804,28.0,Y56,85,LONDON,GILL STREET HEALTH CENTRE,11 GILL STREET,POPLAR,0601022B0,793.33333,A3A8R,LONDON,106.25,Metformin hydrochloride,F84054,NHS NORTH EAST LONDON ICB - A3A8R,Metformin 500mg modified-release tablets
15,0601022B0AAATAT,112.0,E14 8JH,202411,False,THE BARKANTINE PRACTICE,NHS NORTH EAST LONDON INTEGRATED CARE BO,06: Endocrine System,QMF,12.17222,112.0,Y56,1,LONDON,BARKANTINE CENTRE,121 WESTFERRY ROAD,,0601022B0,56.0,A3A8R,LONDON,12.8,Metformin hydrochloride,F84747,NHS NORTH EAST LONDON ICB - A3A8R,Metformin 750mg modified-release tablets
16,0601022B0AAADAD,168.0,E14 8JH,202411,False,THE BARKANTINE PRACTICE,NHS NORTH EAST LONDON INTEGRATED CARE BO,06: Endocrine System,QMF,1.95636,168.0,Y56,1,LONDON,BARKANTINE CENTRE,121 WESTFERRY ROAD,,0601022B0,95.2,A3A8R,LONDON,2.43,Metformin hydrochloride,F84747,NHS NORTH EAST LONDON ICB - A3A8R,Metformin 850mg tablets
17,0601022B0BMABAS,168.0,E1 4FG,202411,False,HARFORD HEALTH CENTRE,NHS NORTH EAST LONDON INTEGRATED CARE BO,06: Endocrine System,QMF,9.89805,56.0,Y56,3,LONDON,HARFORD HEALTH CENTRE,115 HARFORD STREET,,0601022B0,56.0,A3A8R,LONDON,10.38,Metformin hydrochloride,F84087,NHS NORTH EAST LONDON ICB - A3A8R,Sukkarto SR 500mg tablets
18,0601022B0AAABAB,19712.0,E2 6JA,202411,False,THE BLITHEHALE MED.CTR.,NHS NORTH EAST LONDON INTEGRATED CARE BO,06: Endocrine System,QMF,361.5327,224.0,Y56,88,LONDON,BLITHEHALE HEALTH CENTRE,10-22 DUNBRIDGE STREET,,0601022B0,6570.66666,A3A8R,LONDON,450.56,Metformin hydrochloride,F84718,NHS NORTH EAST LONDON ICB - A3A8R,Metformin 500mg tablets
19,0601022B0AAADAD,336.0,E2 7QU,202411,False,STROUTS PLACE MEDICAL CENTRE,NHS NORTH EAST LONDON INTEGRATED CARE BO,06: Endocrine System,QMF,3.92513,112.0,Y56,3,LONDON,"MED CTR, 3 STROUTS PLACE",PELTER STREET,,0601022B0,190.4,A3A8R,LONDON,4.86,Metformin hydrochloride,F84051,NHS NORTH EAST LONDON ICB - A3A8R,Metformin 850mg tablets
20,0601022B0AAAVAV,56.0,E2 7QU,202411,False,STROUTS PLACE MEDICAL CENTRE,NHS NORTH EAST LONDON INTEGRATED CARE BO,06: Endocrine System,QMF,4.1224,56.0,Y56,1,LONDON,"MED CTR, 3 STROUTS PLACE",PELTER STREET,,0601022B0,37.33333,A3A8R,LONDON,4.11,Metformin hydrochloride,F84051,NHS NORTH EAST LONDON ICB - A3A8R,Metformin 1g modified-release tablets
21,0601023AGAAAAAA,56.0,E3 2LR,202411,False,RUSTON STREET CLINIC,NHS NORTH EAST LONDON INTEGRATED CARE BO,06: Endocrine System,QMF,69.54475,28.0,Y56,2,LONDON,RUSTON STREET CLINIC,RUSTON STREET,BOW,0601023AG,0.0,A3A8R,LONDON,73.18,Dapagliflozin,F84030,NHS NORTH EAST LONDON ICB - A3A8R,Dapagliflozin 5mg tablets
22,0601022B0AAASAS,147.0,E14 8HQ,202411,False,THE LIMEHOUSE PRACTICE,NHS NORTH EAST LONDON INTEGRATED CARE BO,06: Endocrine System,QMF,7.2968,21.0,Y56,7,LONDON,GILL STREET HEALTH CENTRE,11 GILL STREET,POPLAR,0601022B0,49.0,A3A8R,LONDON,6.51,Metformin hydrochloride,F84054,NHS NORTH EAST LONDON ICB - A3A8R,Metformin 500mg modified-release tablets
23,0601022B0AAABAB,7980.0,E14 8JH,202411,False,THE BARKANTINE PRACTICE,NHS NORTH EAST LONDON INTEGRATED CARE BO,06: Endocrine System,QMF,149.45137,28.0,Y56,285,LONDON,BARKANTINE CENTRE,121 WESTFERRY ROAD,,0601022B0,2660.0,A3A8R,LONDON,182.4,Metformin hydrochloride,F84747,NHS NORTH EAST LONDON ICB - A3A8R,Metformin 500mg tablets
24,0601022B0BMAAAV,168.0,E14 8JH,202411,False,THE BARKANTINE PRACTICE,NHS NORTH EAST LONDON INTEGRATED CARE BO,06: Endocrine System,QMF,14.97097,56.0,Y56,3,LONDON,BARKANTINE CENTRE,121 WESTFERRY ROAD,,0601022B0,112.0,A3A8R,LONDON,15.72,Metformin hydrochloride,F84747,NHS NORTH EAST LONDON ICB - A3A8R,Sukkarto SR 1000mg tablets
25,0601022B0AAASAS,644.0,E14 9WU,202411,False,DOCKLANDS MEDICAL CENTRE,NHS NORTH EAST LONDON INTEGRATED CARE BO,06: Endocrine System,QMF,31.3352,28.0,Y56,23,LONDON,DOCKLANDS MEDICAL CENTRE,100 SPINDRIFT AVENUE,ISLE OF DOGS,0601022B0,214.66667,A3A8R,LONDON,28.75,Metformin hydrochloride,F84656,NHS NORTH EAST LONDON ICB - A3A8R,Metformin 500mg modified-release tablets
26,0601023AGAAAAAA,91.0,E1 4FG,202411,False,HARFORD HEALTH CENTRE,NHS NORTH EAST LONDON INTEGRATED CARE BO,06: Endocrine System,QMF,114.462,7.0,Y56,13,LONDON,HARFORD HEALTH CENTRE,115 HARFORD STREET,,0601023AG,0.0,A3A8R,LONDON,118.95,Dapagliflozin,F84087,NHS NORTH EAST LONDON ICB - A3A8R,Dapagliflozin 5mg tablets
27,0601022B0AAABAB,1344.0,E1 4FG,202411,False,HARFORD HEALTH CENTRE,NHS NORTH EAST LONDON INTEGRATED CARE BO,06: Endocrine System,QMF,24.77396,84.0,Y56,16,LONDON,HARFORD HEALTH CENTRE,115 HARFORD STREET,,0601022B0,448.0,A3A8R,LONDON,30.72,Metformin hydrochloride,F84087,NHS NORTH EAST LONDON ICB - A3A8R,Metformin 500mg tablets
28,0601022B0AAAWAW,112.0,E1 8ZF,202411,False,GOODMAN'S FIELD HEALTH CENTRE,NHS NORTH EAST LONDON INTEGRATED CARE BO,06: Endocrine System,QMF,22.79326,28.0,Y56,4,LONDON,11 STABLE WALK,,,0601022B0,37.33333,A3A8R,LONDON,23.52,Metformin hydrochloride,F84039,NHS NORTH EAST LONDON ICB - A3A8R,Metformin 500mg oral powder sachets sugar free
29,0601022B0AAADAD,112.0,E2 7QU,202411,False,STROUTS PLACE MEDICAL CENTRE,NHS NORTH EAST LONDON INTEGRATED CARE BO,06: Endocrine System,QMF,2.17918,14.0,Y56,8,LONDON,"MED CTR, 3 STROUTS PLACE",PELTER STREET,,0601022B0,63.46667,A3A8R,LONDON,1.6,Metformin hydrochloride,F84051,NHS NORTH EAST LONDON ICB - A3A8R,Metformin 850mg tablets
30,0601022B0AAABAB,180.0,E3 3FF,202411,False,ST ANDREWS HEALTH CENTRE,NHS NORTH EAST LONDON INTEGRATED CARE BO,06: Endocrine System,QMF,3.40034,180.0,Y56,1,LONDON,2 HANNAFORD WALK,,BOW,0601022B0,60.0,A3A8R,LONDON,4.11,Metformin hydrochloride,Y03023,NHS NORTH EAST LONDON ICB - A3A8R,Metformin 500mg tablets
31,0601022B0AAASAS,56.0,E14 0EY,202411,False,GOUGH WALK PRACTICE,NHS NORTH EAST LONDON INTEGRATED CARE BO,06: Endocrine System,QMF,3.3792,7.0,Y56,8,LONDON,NEWBY PLCE HLTH WELLBEING,21 NEWBY PLACE,,0601022B0,18.66667,A3A8R,LONDON,2.48,Metformin hydrochloride,F84025,NHS NORTH EAST LONDON ICB - A3A8R,Metformin 500mg modified-release tablets
32,0601022B0AAASAS,2464.0,E14 3PG,202411,False,ROSERTON STREET SURGERY,NHS NORTH EAST LONDON INTEGRATED CARE BO,06: Endocrine System,QMF,109.6964,224.0,Y56,11,LONDON,THE ISLAND MEDICAL CENTRE,ROSERTON STREET,,0601022B0,821.33333,A3A8R,LONDON,109.56,Metformin hydrochloride,F84647,NHS NORTH EAST LONDON ICB - A3A8R,Metformin 500mg modified-release tablets
33,0601022B0BMABAS,112.0,E14 8JH,202411,False,THE BARKANTINE PRACTICE,NHS NORTH EAST LONDON INTEGRATED CARE BO,06: Endocrine System,QMF,6.5987,56.0,Y56,2,LONDON,BARKANTINE CENTRE,121 WESTFERRY ROAD,,0601022B0,37.33333,A3A8R,LONDON,6.92,Metformin hydrochloride,F84747,NHS NORTH EAST LONDON ICB - A3A8R,Sukkarto SR 500mg tablets
34,0601022B0AAABAB,336.0,E1W 2RL,202411,False,THE WAPPING GROUP PRACTICE,NHS NORTH EAST LONDON INTEGRATED CARE BO,06: Endocrine System,QMF,6.19349,84.0,Y56,4,LONDON,THE WAPPING HEALTH CENTRE,22 WAPPING LANE,,0601022B0,112.0,A3A8R,LONDON,7.68,Metformin hydrochloride,F84079,NHS NORTH EAST LONDON ICB - A3A8R,Metformin 500mg tablets
35,0601022B0AAABAB,252.0,E1 8ZF,202411,False,GOODMAN'S FIELD HEALTH CENTRE,NHS NORTH EAST LONDON INTEGRATED CARE BO,06: Endocrine System,QMF,4.62032,252.0,Y56,1,LONDON,11 STABLE WALK,,,0601022B0,84.0,A3A8R,LONDON,5.76,Metformin hydrochloride,F84039,NHS NORTH EAST LONDON ICB - A3A8R,Metformin 500mg tablets
36,0601022B0AAAVAV,2576.0,E1 8ZF,202411,False,GOODMAN'S FIELD HEALTH CENTRE,NHS NORTH EAST LONDON INTEGRATED CARE BO,06: Endocrine System,QMF,189.3452,112.0,Y56,23,LONDON,11 STABLE WALK,,,0601022B0,1717.33333,A3A8R,LONDON,189.06,Metformin hydrochloride,F84039,NHS NORTH EAST LONDON ICB - A3A8R,Metformin 1g modified-release tablets
37,0601023AGAAABAB,1568.0,E3 4NE,202411,False,WELLINGTON WAY HEALTH CENTRE,NHS NORTH EAST LONDON INTEGRATED CARE BO,06: Endocrine System,QMF,1946.90585,56.0,Y56,28,LONDON,WELLINGTON WY HLTH CENTRE,1A WELLINGTON WAY,,0601023AG,0.0,A3A8R,LONDON,2049.04,Dapagliflozin,F84118,NHS NORTH EAST LONDON ICB - A3A8R,Dapagliflozin 10mg tablets
38,0601022B0AAARAR,210.0,E14 0EY,202411,False,GOUGH WALK PRACTICE,NHS NORTH EAST LONDON INTEGRATED CARE BO,06: Endocrine System,QMF,28.5924,210.0,Y56,1,LONDON,NEWBY PLCE HLTH WELLBEING,21 NEWBY PLACE,,0601022B0,14.0,A3A8R,LONDON,28.48,Metformin hydrochloride,F84025,NHS NORTH EAST LONDON ICB - A3A8R,Metformin 500mg/5ml oral solution sugar free
39,0601022B0AAASAS,35.0,E14 9WU,202411,False,DOCKLANDS MEDICAL CENTRE,NHS NORTH EAST LONDON INTEGRATED CARE BO,06: Endocrine System,QMF,2.112,7.0,Y56,5,LONDON,DOCKLANDS MEDICAL CENTRE,100 SPINDRIFT AVENUE,ISLE OF DOGS,0601022B0,11.66667,A3A8R,LONDON,1.55,Metformin hydrochloride,F84656,NHS NORTH EAST LONDON ICB - A3A8R,Metformin 500mg modified-release tablets
40,0601022B0BMABAS,224.0,E14 0XA,202411,False,ABERFELDY PRACTICE,NHS NORTH EAST LONDON INTEGRATED CARE BO,06: Endocrine System,QMF,13.1974,56.0,Y56,4,LONDON,ABERFELDY H&W CENTRE,19 ABERFELDY SQUARE,,0601022B0,74.66667,A3A8R,LONDON,13.84,Metformin hydrochloride,F84698,NHS NORTH EAST LONDON ICB - A3A8R,Sukkarto SR 500mg tablets
41,0601022B0AAASAS,56.0,E14 6PG,202411,False,THE CHRISP STREET HTH CTR,NHS NORTH EAST LONDON INTEGRATED CARE BO,06: Endocrine System,QMF,3.3792,7.0,Y56,8,LONDON,THE CHRISP STREET HTH CTR,100 CHRISP STREET,,0601022B0,18.66667,A3A8R,LONDON,2.48,Metformin hydrochloride,F84062,NHS NORTH EAST LONDON ICB - A3A8R,Metformin 500mg modified-release tablets
42,0601022B0AAADAD,490.0,E14 6PG,202411,False,THE CHRISP STREET HTH CTR,NHS NORTH EAST LONDON INTEGRATED CARE BO,06: Endocrine System,QMF,9.5339,14.0,Y56,35,LONDON,THE CHRISP STREET HTH CTR,100 CHRISP STREET,,0601022B0,277.66667,A3A8R,LONDON,7.0,Metformin hydrochloride,F84062,NHS NORTH EAST LONDON ICB - A3A8R,Metformin 850mg tablets
43,0601022B0BMABAS,672.0,E1 0LS,202411,False,THE JUBILEE STREET PRACTICE LTD,NHS NORTH EAST LONDON INTEGRATED CARE BO,06: Endocrine System,QMF,39.48061,224.0,Y56,3,LONDON,JUBILEE STREET PRACTICE,368-374 COMMERCIAL ROAD,,0601022B0,224.0,A3A8R,LONDON,41.52,Metformin hydrochloride,F84031,NHS NORTH EAST LONDON ICB - A3A8R,Sukkarto SR 500mg tablets
44,0601023AGAAABAB,2072.0,E1 0LS,202411,False,THE JUBILEE STREET PRACTICE LTD,NHS NORTH EAST LONDON INTEGRATED CARE BO,06: Endocrine System,QMF,2606.21161,7.0,Y56,296,LONDON,JUBILEE STREET PRACTICE,368-374 COMMERCIAL ROAD,,0601023AG,0.0,A3A8R,LONDON,2708.4,Dapagliflozin,F84031,NHS NORTH EAST LONDON ICB - A3A8R,Dapagliflozin 10mg tablets
45,0601022B0AAASAS,112.0,E2 6LL,202411,False,BETHNAL GREEN HEALTH CTR.,NHS NORTH EAST LONDON INTEGRATED CARE BO,06: Endocrine System,QMF,5.8592,14.0,Y56,8,LONDON,BETHNAL GREEN HEALTH CTR,60 FLORIDA STREET,BETHNAL GREEN,0601022B0,37.33333,A3A8R,LONDON,4.96,Metformin hydrochloride,F84083,NHS NORTH EAST LONDON ICB - A3A8R,Metformin 500mg modified-release tablets
46,0601023AGAAAAAA,28.0,E2 7QU,202411,False,STROUTS PLACE MEDICAL CENTRE,NHS NORTH EAST LONDON INTEGRATED CARE BO,06: Endocrine System,QMF,35.21908,7.0,Y56,4,LONDON,"MED CTR, 3 STROUTS PLACE",PELTER STREET,,0601023AG,0.0,A3A8R,LONDON,36.6,Dapagliflozin,F84051,NHS NORTH EAST LONDON ICB - A3A8R,Dapagliflozin 5mg tablets
47,0601023AGAAAAAA,98.0,E3 2LR,202411,False,RUSTON STREET CLINIC,NHS NORTH EAST LONDON INTEGRATED CARE BO,06: Endocrine System,QMF,123.26677,7.0,Y56,14,LONDON,RUSTON STREET CLINIC,RUSTON STREET,BOW,0601023AG,0.0,A3A8R,LONDON,128.1,Dapagliflozin,F84030,NHS NORTH EAST LONDON ICB - A3A8R,Dapagliflozin 5mg tablets
48,0601023AGAAABAB,168.0,E3 5JD,202411,False,TREDEGAR PRACTICE,NHS NORTH EAST LONDON INTEGRATED CARE BO,06: Endocrine System,QMF,208.58466,84.0,Y56,2,LONDON,35 ST.STEPHENS ROAD,BOW,,0601023AG,0.0,A3A8R,LONDON,219.54,Dapagliflozin,F84696,NHS NORTH EAST LONDON ICB - A3A8R,Dapagliflozin 10mg tablets
49,0601022B0AAABAB,784.0,E14 0EY,202411,False,GOUGH WALK PRACTICE,NHS NORTH EAST LONDON INTEGRATED CARE BO,06: Endocrine System,QMF,14.50934,56.0,Y56,14,LONDON,NEWBY PLCE HLTH WELLBEING,21 NEWBY PLACE,,0601022B0,261.33333,A3A8R,LONDON,17.92,Metformin hydrochloride,F84025,NHS NORTH EAST LONDON ICB - A3A8R,Metformin 500mg tablets
50,0601022B0AAAVAV,84.0,E14 8HQ,202411,False,THE LIMEHOUSE PRACTICE,NHS NORTH EAST LONDON INTEGRATED CARE BO,06: Endocrine System,QMF,6.2824,84.0,Y56,1,LONDON,GILL STREET HEALTH CENTRE,11 GILL STREET,POPLAR,0601022B0,56.0,A3A8R,LONDON,6.17,Metformin hydrochloride,F84054,NHS NORTH EAST LONDON ICB - A3A8R,Metformin 1g modified-release tablets
51,0601022B0BMAAAV,28.0,E14 8JH,202411,False,THE BARKANTINE PRACTICE,NHS NORTH EAST LONDON INTEGRATED CARE BO,06: Endocrine System,QMF,2.60136,28.0,Y56,1,LONDON,BARKANTINE CENTRE,121 WESTFERRY ROAD,,0601022B0,18.66667,A3A8R,LONDON,2.62,Metformin hydrochloride,F84747,NHS NORTH EAST LONDON ICB - A3A8R,Sukkarto SR 1000mg tablets
52,0601023AGAAABAB,532.0,E2 9LS,202411,False,THE MISSION PRACTICE,NHS NORTH EAST LONDON INTEGRATED CARE BO,06: Endocrine System,QMF,660.67514,28.0,Y56,19,LONDON,MISSION MEDICAL PRACTICE,208 CAMBRIDGE HEATH ROAD,BETHNAL GREEN,0601023AG,0.0,A3A8R,LONDON,695.21,Dapagliflozin,F84016,NHS NORTH EAST LONDON ICB - A3A8R,Dapagliflozin 10mg tablets
53,0601022B0AAAVAV,448.0,E3 5JD,202411,False,TREDEGAR PRACTICE,NHS NORTH EAST LONDON INTEGRATED CARE BO,06: Endocrine System,QMF,32.9296,112.0,Y56,4,LONDON,35 ST.STEPHENS ROAD,BOW,,0601022B0,298.66667,A3A8R,LONDON,32.88,Metformin hydrochloride,F84696,NHS NORTH EAST LONDON ICB - A3A8R,Metformin 1g modified-release tablets
54,0601022B0BMABAS,147.0,E14 6PG,202411,False,THE CHRISP STREET HTH CTR,NHS NORTH EAST LONDON INTEGRATED CARE BO,06: Endocrine System,QMF,9.43167,21.0,Y56,7,LONDON,THE CHRISP STREET HTH CTR,100 CHRISP STREET,,0601022B0,49.0,A3A8R,LONDON,9.1,Metformin hydrochloride,F84062,NHS NORTH EAST LONDON ICB - A3A8R,Sukkarto SR 500mg tablets
55,0601022B0AAARAR,600.0,E14 8JH,202411,False,THE BARKANTINE PRACTICE,NHS NORTH EAST LONDON INTEGRATED CARE BO,06: Endocrine System,QMF,81.3724,600.0,Y56,1,LONDON,BARKANTINE CENTRE,121 WESTFERRY ROAD,,0601022B0,40.0,A3A8R,LONDON,81.36,Metformin hydrochloride,F84747,NHS NORTH EAST LONDON ICB - A3A8R,Metformin 500mg/5ml oral solution sugar free
56,0601022B0AAABAB,7840.0,E14 9WU,202411,False,DOCKLANDS MEDICAL CENTRE,NHS NORTH EAST LONDON INTEGRATED CARE BO,06: Endocrine System,QMF,143.79141,224.0,Y56,35,LONDON,DOCKLANDS MEDICAL CENTRE,100 SPINDRIFT AVENUE,ISLE OF DOGS,0601022B0,2613.33333,A3A8R,LONDON,179.2,Metformin hydrochloride,F84656,NHS NORTH EAST LONDON ICB - A3A8R,Metformin 500mg tablets
57,0601023AGAAABAB,756.0,E1 0LS,202411,False,THE JUBILEE STREET PRACTICE LTD,NHS NORTH EAST LONDON INTEGRATED CARE BO,06: Endocrine System,QMF,938.85415,28.0,Y56,27,LONDON,JUBILEE STREET PRACTICE,368-374 COMMERCIAL ROAD,,0601023AG,0.0,A3A8R,LONDON,987.93,Dapagliflozin,F84031,NHS NORTH EAST LONDON ICB - A3A8R,Dapagliflozin 10mg tablets
58,0601022B0AAADAD,28.0,E1 4FG,202411,False,HARFORD HEALTH CENTRE,NHS NORTH EAST LONDON INTEGRATED CARE BO,06: Endocrine System,QMF,0.76959,7.0,Y56,4,LONDON,HARFORD HEALTH CENTRE,115 HARFORD STREET,,0601022B0,15.86667,A3A8R,LONDON,0.4,Metformin hydrochloride,F84087,NHS NORTH EAST LONDON ICB - A3A8R,Metformin 850mg tablets
59,0601022B0AAABAB,1008.0,E2 6LL,202411,False,BETHNAL GREEN HEALTH CTR.,NHS NORTH EAST LONDON INTEGRATED CARE BO,06: Endocrine System,QMF,18.48127,252.0,Y56,4,LONDON,BETHNAL GREEN HEALTH CTR,60 FLORIDA STREET,BETHNAL GREEN,0601022B0,336.0,A3A8R,LONDON,23.04,Metformin hydrochloride,F84083,NHS NORTH EAST LONDON ICB - A3A8R,Metformin 500mg tablets
60,0601023AGAAAAAA,42.0,E2 6LL,202411,False,BETHNAL GREEN HEALTH CTR.,NHS NORTH EAST LONDON INTEGRATED CARE BO,06: Endocrine System,QMF,52.82861,7.0,Y56,6,LONDON,BETHNAL GREEN HEALTH CTR,60 FLORIDA STREET,BETHNAL GREEN,0601023AG,0.0,A3A8R,LONDON,54.9,Dapagliflozin,F84083,NHS NORTH EAST LONDON ICB - A3A8R,Dapagliflozin 5mg tablets
